func_calls,golden_step_size,regular_step_size
6.900000000000000000e+01,1.317483033340311138e+01,5.400625989777040559e+00
6.400000000000000000e+01,1.165872831449281222e+01,4.210905334474293937e+00
6.200000000000000000e+01,1.163923322111895686e+01,3.415722699064278611e+00
5.700000000000000000e+01,9.181830480139780093e+00,1.719697732769261522e+00
5.500000000000000000e+01,6.729627423886275217e+00,4.561562567011155700e+00
5.400000000000000000e+01,2.385250638410886914e+00,3.225723245092970703e+00
5.200000000000000000e+01,1.309335907853606651e+00,1.357840130663749534e+00
5.100000000000000000e+01,8.356390770391236567e-01,6.105067446716480051e-01
4.900000000000000000e+01,6.682377978248345007e-01,2.994003955277992901e-01
4.800000000000000000e+01,3.020549972096999158e-01,4.234576303871233349e-02
4.700000000000000000e+01,6.594848037989784473e-01,2.801257310187183283e-02
4.500000000000000000e+01,1.757686300366920085e+00,2.585219266067994605e-03
4.200000000000000000e+01,3.706344902451773837e+00,1.572814645915123161e-04
4.100000000000000000e+01,8.085296864375841608e+00,5.224790025498065265e-05
4.200000000000000000e+01,1.279151741939491060e+01,1.460253545757823015e-05
4.300000000000000000e+01,3.398250669974147087e+01,7.085945640628387233e-06
4.300000000000000000e+01,6.908007604638851262e+01,5.209780944624119272e-07
4.300000000000000000e+01,1.252998867671102374e+02,2.460746119509083331e-07
4.300000000000000000e+01,2.476606377852729679e+02,2.058078933755655097e-07
